ID,Name,Age,Title,Description
1,John Doe,64,Zookeeper,Cares for animals and their habitats
2,Jane Smith,20,Veterinarian,Provides medical care to animals
3,Alice Johnson,23,Animal Trainer,Trains animals for performances
4,Robert Brown,23,Tour Guide,Guides visitors through the zoo
5,Emily Davis,59,Conservation Specialist,Works on wildlife conservation projects
6,Michael Miller,29,Zoologist,Studies animal behavior
7,Mary Wilson,39,Aquarist,Maintains aquatic exhibits
8,David Moore,41,Curator,Oversees animal exhibits and collections
9,Sophia Taylor,56,Nutritionist,Plans diets for animals
10,James Anderson,43,Groundskeeper,Maintains zoo grounds
11,Olivia Thomas,26,Facilities Manager,Manages zoo facilities
12,Daniel Jackson,44,Guest Services,Assists visitors and handles inquiries
13,Ava White,44,Educator,Educates public about animals
14,William Harris,32,Marketing Coordinator,Promotes zoo events and activities
15,Isabella Martin,21,Researcher,Conducts research on wildlife
16,Mason Thompson,58,Maintenance Worker,Handles maintenance and repairs
17,Mia Garcia,59,Administrative Assistant,Supports administrative tasks
18,Ethan Martinez,43,Fundraising Coordinator,Organizes fundraising events
19,Charlotte Robinson,44,Event Planner,Plans and coordinates events
20,Lucas Clark,37,Volunteer Coordinator,Manages volunteer programs
